bookTitle,bookAuthor,bookCategory,Price,weighted_rating,image
Night,Clement Moore,['Juvenile Fiction'],40.68,4.600840923076923,http://books.google.com/books/content?id=LSSyDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
George Orwell 1984,George Orwell,['Fiction'],5.13,4.593365957446808,http://books.google.com/books/content?id=PEpoEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Nineteen Eighty-Four,George Orwell,['Totalitarianism'],24.49,4.582727659574468,http://books.google.com/books/content?id=h7BUNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Moby-Dick: Or, the Whale",Herman Melville,['Fiction'],10.88,4.574315492957746,http://books.google.com/books/content?id=xJFPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1984,George Orwell,['Fiction'],16.74,4.55439587628866,http://books.google.com/books/content?id=gTx1AAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Hobbit,J. R. R. Tolkien,['Juvenile Fiction'],34.8,4.551917391304348,http://books.google.com/books/content?id=LLSpngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Lord of the Rings - Boxed Set,j.r.r. Tolkien,['Young Adult Fiction'],6.87,4.544882191780822,http://books.google.com/books/content?id=CixXEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
John Adams,David McCullough,"['Biography', 'Autobiography']",29.94,4.5222050000000005,http://books.google.com/books/content?id=GHMnz8G0GTcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Harry Potter and the Sorcerer's Stone,J. K. Rowling,['Juvenile Fiction'],30.54,4.51741568627451,http://books.google.com/books/content?id=HksgDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Harry Potter and the Chamber of Secrets,J. K. Rowling,['Juvenile Fiction'],22.73,4.514026373626374,http://books.google.com/books/content?id=nmXTy4FPfcwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"The Hobbitt, or There and Back Again; Illustrated by the Author.",J. R. R. Tolkien,['Fiction'],39.31,4.51215619047619,http://books.google.com/books/content?id=Wbm1mQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Animal Farm 50th Anniversary Edition,George Orwell,['Fiction'],24.19,4.508822727272728,http://books.google.com/books/content?id=Ka5iFzSSwswC&printsec=frontcover&img=1&zoom=1&source=gbs_api
